name,address,website,has_website,phone_number,business_type,reviews_count,reviews_average,latitude,longitude,keyword,category,searched_zipcode,email_1,email_2,email_3,all_emails,facebook,instagram,email_found,scrape_status
Freebirds World Burrito,"2222 McKinney Ave, Dallas, TX 75201",https://smashburger.com,Yes,(469) 341-3394,,306.0,1.0,32.7934937,-96.8201175,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/smashburger,https://www.instagram.com/smashburger/,No,no_contact_found
The Woolworth,"1520 Elm St #201, Dallas, TX 75201",https://thewoolworthdallas.com,Yes,(214) 814-0588,,392.0,8.0,32.7934937,-96.8201175,quick service restaurant,Food & Restaurant,75201,info@thewoolworthdallas.com,,,info@thewoolworthdallas.com,https://www.facebook.com/TheWoolworth/,https://www.instagram.com/thewoolworth/,Yes,found_homepage
Overeasy,"1914 Commerce St, Dallas, TX 75201",https://overeasydallas.com,Yes,(469) 320-8998,,4.0,70.0,32.7934937,-96.8201175,quick service restaurant,Food & Restaurant,75201,khunter@sunwestpr.com,,,khunter@sunwestpr.com,https://www.facebook.com/OvereasyDallas/,https://www.instagram.com/overeasydallas/,Yes,found_subpage
Hops & Hens,"665 S Lamar St, Dallas, TX 75202",https://omnihotels.com,Yes,(214) 979-4512,,0.0,44.0,32.7754503,-96.8216108,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
"Moudis (Bagels, Deli, and Mediterranean)","1700 Pacific Ave Ste C107, Dallas, TX 75201",https://instagram.com,Yes,,,0.0,35.0,32.7754503,-96.8216108,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
everbowl,"200 Crescent Ct Suite 60, Dallas, TX 75201",https://everbowl.com,Yes,(972) 925-9025,,3.0,30.0,32.7936538,-96.8219323,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/everbowl,https://www.instagram.com/everbowlcraftsuperfood/,No,no_contact_found
Pei Wei Asian Kitchen,"2222 McKinney Ave Suite 100, Dallas, TX 75201",https://peiwei.com,Yes,(214) 965-0007,,378.0,1.0,32.7936538,-96.8219323,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Grandy's,"901 Main St Suite C106A, Dallas, TX 75202",https://grandys.com,Yes,(214) 655-2677,,7.0,5.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,scott_wilson@grandys.com,,,scott_wilson@grandys.com,https://www.facebook.com/grandys,,Yes,found_subpage
St. Paul Cafe,"1707 San Jacinto St, Dallas, TX 75201",https://firstdallas.org,Yes,(214) 969-7753,,1.0,19.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,info@firstdallas.org,press@firstdallas.org,customerservice@ptv.org,info@firstdallas.org | press@firstdallas.org | customerservice@ptv.org,http://www.facebook.com/fbcdallas,https://instagram.com/firstdallas/,Yes,found_homepage
Corner Bakery Cafe,"301 N Market St Ste 100, Dallas, TX 75202",https://cornerbakerycafe.com,Yes,(214) 651-8650,,8.0,94.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,press@cornerbakerycafe.com,,,press@cornerbakerycafe.com,https://www.facebook.com/cornerbakerycafe,https://www.instagram.com/cornerbakery/,Yes,found_subpage
Bowl and Burger,"301 N Market St Ste 100, Dallas, TX 75202",https://cornerbakerycafe.com,Yes,(214) 651-8650,,8.0,94.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,press@cornerbakerycafe.com,,,press@cornerbakerycafe.com,https://www.facebook.com/cornerbakerycafe,https://www.instagram.com/cornerbakery/,Yes,found_subpage
Poblanos Cafe,"1700 Pacific Ave C-103, Dallas, TX 75201",https://poblanoscafe.com,Yes,(214) 220-1114,,9.0,4.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,info@poblanoscafe.com,,,info@poblanoscafe.com,https://www.facebook.com/,,Yes,found_subpage
Campisi's,"1520 Elm St #111, Dallas, TX 75201",https://campisis.us,Yes,(214) 752-0141,,160.0,2.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,cater@campisis.us,,,cater@campisis.us,https://www.facebook.com/CampisisRestaurants,https://www.instagram.com/campisisrestaurants/,Yes,found_homepage
Salsa Limn,"411 N Akard St, Dallas, TX 75201",https://salsalimon.com,Yes,(972) 803-4388,,534.0,1.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,contact@salsalimon.com,feedback@salsalimon.com,,contact@salsalimon.com | feedback@salsalimon.com,https://www.facebook.com/salsalimon/,https://www.instagram.com/salsalimon,Yes,found_homepage
Press Box Grill,"SW Corner of Elm and, 1623 Main Street, N Ervay St #101, Dallas, TX 75201",https://pressboxgrill.com,Yes,(214) 747-8226,,634.0,1.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
BBQ DNA,"211 N Ervay St Ste 110, Dallas, TX 75201",https://bbq-dna.com,Yes,(214) 702-1388,,6.0,20.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,info@bbqdna.com,,,info@bbqdna.com,,,Yes,found_homepage
Kuai Asian Kitchen,"325 North St. Paul Street C9, Dallas, TX 75201",https://kuaidumplings.com,Yes,(972) 789-1199,,2.0,10.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/75976889992,https://www.instagram.com/kuaiasiankitchen,No,no_contact_found
The Henry,"2301 N Akard St Suite 250, Dallas, TX 75201",https://thehenryrestaurant.com,Yes,(972) 677-9560,,404.0,3.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/TheHenryRestaurant,https://www.instagram.com/thehenryrestaurant,No,no_contact_found
Ascension Coffee - Crescent Court,"200 Crescent Ct #40, Dallas, TX 75201",https://ascension.coffee,Yes,(469) 941-4542,,5.0,73.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/AscensionCoffee/,https://www.instagram.com/ascensioncoffee/,No,no_contact_found
Carmine's Pizza Downtown,"2006 San Jacinto St #100, Dallas, TX 75201",https://carminespizzadallas.com,Yes,(214) 520-6000,,2.0,99.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/carminespizzadowntown,https://www.instagram.com/carminespizzadowntown/,No,no_contact_found
La Parada,"2000 Woodall Rodgers Fwy, Dallas, TX 75201",https://laparadaonthepark.com,Yes,(214) 531-6062,,9.0,3.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/MiCocinaTexmex,https://www.instagram.com/micocina/,No,no_contact_found
Sandoitchi,"1604 Main St Suite 110, Dallas, TX 75201",https://sandoitchi.com,Yes,,,0.0,21.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,order@sandoitchi.menu,,,order@sandoitchi.menu,,https://www.instagram.com/sando.itchi,Yes,found_homepage
McDonald's,"700 N Pearl St, Dallas, TX 75201",https://mcdonalds.com,Yes,(214) 999-1170,,0.0,17.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,franchising@us.mcd.com,,,franchising@us.mcd.com,https://www.facebook.com/McDonalds/,https://www.instagram.com/wearegolden/,Yes,found_subpage
The Operators Club,"2019 N Lamar St Suite 100, Dallas, TX 75202",https://operatorsclub.com,Yes,(469) 389-2121,,2.0,73.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Namak Indian Cuisine,"1700 Pacific Ave, opp to starbucks, C101, on, S Ervay St side, Dallas, TX 75201",https://namakdallas.com,Yes,(972) 982-2006,,589.0,10.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
The Bar on the Park,"1700 Pacific Ave, opp to starbucks, C101, on, S Ervay St side, Dallas, TX 75201",https://namakdallas.com,Yes,(972) 982-2006,,589.0,10.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Caf OLIVIA,"2200 Ross Ave suite 100, Dallas, TX 75201",https://cafeoliviatx.com,Yes,(214) 238-6216,,9.0,6.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/cafeoliviatx,https://www.instagram.com/cafeoliviatx/,No,no_contact_found
Whataburger,"2428 N Haskell Ave., Dallas, TX 75204",https://locations.whataburger.com,Yes,(214) 821-0293,,131.0,5.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/whataburger,https://instagram.com/whataburger,No,no_contact_found
crushcraft Thai Eats,"2428 N Haskell Ave., Dallas, TX 75204",https://locations.whataburger.com,Yes,(214) 821-0293,,131.0,5.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/whataburger,https://instagram.com/whataburger,No,no_contact_found
ASTRA Kitchen + Lounge,"1717 Leonard St, Dallas, TX 75201",https://astradallas.com,Yes,(972) 629-0924,,4.0,53.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,info@astradallas.com,,,info@astradallas.com,https://www.facebook.com/astradfw/,https://www.instagram.com/astradfw,Yes,found_subpage
The Conservatory,"400 Crescent Ct, Dallas, TX 75201",https://crescentcourt.com,Yes,(214) 871-3240,,8.0,1.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Haywire,"1920 McKinney Ave Ste 100, Dallas, TX 75201",https://haywirerestaurant.com,Yes,(469) 501-5522,,951.0,1.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/haywirerestaurant,https://www.instagram.com/haywirerestaurants/,No,no_contact_found
MIXT Salads,"1920 McKinney Ave Ste 100, Dallas, TX 75201",https://haywirerestaurant.com,Yes,(469) 501-5522,,951.0,1.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/haywirerestaurant,https://www.instagram.com/haywirerestaurants/,No,no_contact_found
Fond,"1601 Elm St suite 110, Dallas, TX 75201",https://fond-dallas.com,Yes,(972) 803-6045,,3.0,12.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,filler@godaddy.com,,,filler@godaddy.com,https://www.facebook.com/profile.php?id=100095127563521,https://www.instagram.com/fonddallas,Yes,found_homepage
Yolk - One Arts Plaza,"1722 Routh St #132, Dallas, TX 75201",https://eatyolk.com,Yes,(214) 855-9655,,208.0,2.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,info@eatyolk.com,,,info@eatyolk.com,https://www.facebook.com/EatYolk,http://instagram.com/eatyolk#,Yes,found_homepage
Abe's Flavor Flave (Food Truck),"1722 Routh St #132, Dallas, TX 75201",https://eatyolk.com,Yes,(214) 855-9655,,208.0,2.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,info@eatyolk.com,,,info@eatyolk.com,https://www.facebook.com/EatYolk,http://instagram.com/eatyolk#,Yes,found_homepage
La Stella Cucina Verace,"2330 Flora St #150, Dallas, TX 75201",https://lastellatx.com,Yes,(469) 663-7800,,538.0,2.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,management@lastellatx.com,,,management@lastellatx.com,https://www.facebook.com/LaStellaDallas/,https://www.instagram.com/lastelladallas/,Yes,found_homepage
Subway,"Food Court, 1700 Pacific Ave Suite C104, Dallas, TX 75201",https://restaurants.subway.com,Yes,(214) 965-9499,,2.0,2.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Broadway Pizza,"Food Court, 1700 Pacific Ave Suite C104, Dallas, TX 75201",https://restaurants.subway.com,Yes,(214) 965-9499,,2.0,2.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Mason's Famous Lobster Rolls,"2301 N Akard St Suite 260, Dallas, TX 75201",https://masonslobster.com,Yes,(972) 209-8235,,1.0,21.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
ELOTE Co. Mexican Snacks,"1952 N Harwood St, Dallas, TX 75201",https://mexicansnaks.com,Yes,,,5.0,1.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Starship Bagel,"1520 Elm St #107, Dallas, TX 75201",https://starshipbagel.com,Yes,(469) 772-9606,,7.0,37.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
45 Oaks Cafe and Catering,"1520 Elm St #107, Dallas, TX 75201",https://starshipbagel.com,Yes,(469) 772-9606,,7.0,37.0,32.7802567,-96.8215582,quick service restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Black Tap Craft Burgers & Beer - Dallas,"2475 Victory Park Ln Ste 120, Dallas, TX 75219",https://blacktap.com,Yes,(469) 341-8288,,170.0,1.0,32.7886084,-96.8457531,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Hopdoddy Burger Bar,"3227 McKinney Ave #102, Dallas, TX 75204",https://hopdoddy.com,Yes,(214) 871-2337,,542.0,2.0,32.7886084,-96.8457531,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/hopdoddy,https://www.instagram.com/hopdoddy/,No,no_contact_found
Twisted Root Burger Co.,"2615 Commerce St, Dallas, TX 75226",https://twistedrootburgerco.com,Yes,(214) 741-7668,,465.0,3.0,32.7830071,-96.8215523,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/TwistedRoot/,https://www.instagram.com/twistedrootburger/,No,no_contact_found
Speed Burgers and More,"1201 Main St, Dallas, TX 75202",https://facebook.com,Yes,(469) 914-0141,,6.0,7.0,32.7830071,-96.8215523,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Easy Slider - The Exchange Hall,"211 S Akard St, Dallas, TX 75202",https://easyslidertexas.com,Yes,,,1.0,3.0,32.7830071,-96.8215523,burger restaurant,Food & Restaurant,75201,info@easyslidertexas.com,,,info@easyslidertexas.com,https://www.facebook.com/people/Easy-Slider/100063592390037/,https://www.instagram.com/easyslidertx/?hl=en,Yes,found_homepage
MrBeast Burger,"1700 Pacific Ave c111, Dallas, TX 75201",https://mrbeastburger.com,Yes,(877) 232-7898,,,,32.7830071,-96.8215523,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Sky Rocket Burger-Dallas,"111 S Hall St, Dallas, TX 75226",https://skyrocketburger.com,Yes,(469) 577-9573,,84.0,1.0,32.7842307,-96.8149115,burger restaurant,Food & Restaurant,75201,,,,,https://facebook.com/Sky-Rocket-Burger-1388740504572269/,https://www.instagram.com/skyrocketburgers/,No,no_contact_found
Rodeo Goat,"1926 Market Center Blvd, Dallas, TX 75207",https://rodeogoat.com,Yes,(214) 741-4628,,431.0,8.0,32.7972052,-96.8599638,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
NADC Burger,"2908 McKinney Ave, Dallas, TX 75204",https://nadcburger.com,Yes,(855) 328-6232,,1.0,13.0,32.7934617,-96.8391772,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/nadcburger/,http://instagram.com/nadcburger,No,no_contact_found
Angry Dog,"2726 Commerce St, Dallas, TX 75226",https://angrydog.com,Yes,(214) 741-4406,,816.0,2.0,32.7828864,-96.8196082,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Village Burger Bar,"3699 McKinney Ave C-325, Dallas, TX 75204",https://villageburgerbar.com,Yes,(214) 443-9998,,538.0,1.0,32.7901512,-96.8395294,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Sloane's Corner,"2001 Ross Ave Suite 125, Dallas, TX 75201",https://sloanescorner.com,Yes,(214) 484-1395,,5.0,50.0,32.7901512,-96.8395294,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
In Good Company,"2001 Ross Ave Suite 125, Dallas, TX 75201",https://sloanescorner.com,Yes,(214) 484-1395,,5.0,50.0,32.7901512,-96.8395294,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Maple & Motor,"4810 Maple Ave, Dallas, TX 75219",https://mapleandmotor.com,Yes,(214) 522-4400,,547.0,3.0,32.8151984,-96.863112,burger restaurant,Food & Restaurant,75201,catering@mapleandmotor.com,info@mapleandmotor.com,,catering@mapleandmotor.com | info@mapleandmotor.com,http://www.facebook.com/mapleandmotor,,Yes,found_homepage
Okie Dokie Smash Burgers,"3510 Ross Ave ste 100, Dallas, TX 75204",https://oomikitchen.com,Yes,(469) 372-0396,,,,32.7962347,-96.8236499,burger restaurant,Food & Restaurant,75201,info@oomikitchen.com,,,info@oomikitchen.com,https://www.facebook.com/oomikitchen,https://www.instagram.com/oomikitchen/,Yes,found_homepage
Doc B's Restaurant,"2021 McKinney Ave #190, Dallas, TX 75201",https://docbsrestaurant.com,Yes,(469) 998-2330,,7.0,95.0,32.7962347,-96.8236499,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Hunky's Old Fashioned Hamburgers - Cedar Springs,"3930 Cedar Springs Rd, Dallas, TX 75219",https://hunkys.com,Yes,(214) 522-1212,,399.0,2.0,32.8110311,-96.8468568,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/,https://www.instagram.com/,No,no_contact_found
CHADENIS DALLAS,"3930 Cedar Springs Rd, Dallas, TX 75219",https://hunkys.com,Yes,(214) 522-1212,,399.0,2.0,32.8110311,-96.8468568,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/,https://www.instagram.com/,No,no_contact_found
Yardbird Table & Bar,"2121 N Pearl St St 170, Dallas, TX 75201",https://runchickenrun.com,Yes,(469) 208-2441,,504.0,2.0,32.8110311,-96.8468568,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/YardbirdRestaurants,https://www.instagram.com/yardbirdrestaurants/,No,no_contact_found
Rodeo Bar,"2121 N Pearl St St 170, Dallas, TX 75201",https://runchickenrun.com,Yes,(469) 208-2441,,504.0,2.0,32.8110311,-96.8468568,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/YardbirdRestaurants,https://www.instagram.com/yardbirdrestaurants/,No,no_contact_found
MIRADOR,"1608 Elm St, Dallas, TX 75201",https://mirador-dallas.com,Yes,(214) 945-8200,,1.0,27.0,32.779983,-96.8429636,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Chip's Old Fashioned Hamburgers,"1605 N Beckley Ave, Dallas, TX 75208",https://thebestburgerever.com,Yes,(214) 434-1084,,9.0,74.0,32.7641744,-96.8593567,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Herby's Burgers,"2109 S Edgefield Ave, Dallas, TX 75224",https://cash.app,Yes,(214) 613-6966,,3.0,39.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Chet's Dallas,"208 N Market St, Dallas, TX 75202",https://chetsdallas.com,Yes,(214) 613-6500,,981.0,2.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Susan's Burgers N More,"2226 Irving Blvd, Dallas, TX 75207",https://susansburgernmore.com,Yes,(469) 206-9950,,9.0,37.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,susansburgernmore@gmail.com,susansburgersnmore@gmail.com,,susansburgernmore@gmail.com | susansburgersnmore@gmail.com,https://www.facebook.com/susanshamburgers/,,Yes,found_homepage
CBD Provisions,"1530 Main St STE 100, Dallas, TX 75201",https://thejouledallas.com,Yes,(214) 261-4500,,329.0,1.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/TheJouleHotel/,https://www.instagram.com/thejouledallas,No,no_contact_found
Burger Schmurger,"718 N Buckner Blvd, Dallas, TX 75218",https://burgerschmurger.com,Yes,(214) 272-3343,,4.0,47.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,info@burgerschmurger.com,,,info@burgerschmurger.com,https://www.facebook.com/burgerschmurger,https://www.instagram.com/burger_schmurger,Yes,found_homepage
Harwood Tavern,"333 S Harwood St, Dallas, TX 75201",https://harwoodtaverndallas.com,Yes,(469) 899-7904,,9.0,71.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/HarwoodTavern,https://www.instagram.com/harwoodtavern/,No,no_contact_found
Moxies Dallas Uptown Restaurant,"333 S Harwood St, Dallas, TX 75201",https://harwoodtaverndallas.com,Yes,(469) 899-7904,,9.0,71.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,https://www.facebook.com/HarwoodTavern,https://www.instagram.com/harwoodtavern/,No,no_contact_found
Harvey B's,"4506 Columbia Ave #100, Dallas, TX 75226",https://harveybs.com,Yes,(469) 334-0980,,34.0,1.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,//facebook.com/HarveyBsBurgers,,No,no_contact_found
National Anthem,"2130 Commerce St 2nd Floor, Dallas, TX 75201",https://nationalanthemdtx.com,Yes,(469) 677-6166,,6.0,35.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,https://www.instagram.com/nationalanthemdtx/,No,no_contact_found
Wing Bucket,"2130 Commerce St 2nd Floor, Dallas, TX 75201",https://nationalanthemdtx.com,Yes,(469) 677-6166,,6.0,35.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,https://www.instagram.com/nationalanthemdtx/,No,no_contact_found
Pacheco Taco N Burger,"1315 S Ervay St, Dallas, TX 75215",https://m.facebook.com,Yes,(972) 375-7960,,3.0,36.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
JG's Old Fashioned Hamburgers,"12101 Greenville Ave #109, Dallas, TX 75243",https://jgsburgers.com,Yes,(972) 644-8628,,641.0,2.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
STK Steakhouse,"12101 Greenville Ave #109, Dallas, TX 75243",https://jgsburgers.com,Yes,(972) 644-8628,,641.0,2.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
The Crafty Irishman,"1800 Main St, Dallas, TX 75201",https://thecraftyirishman.com,Yes,(972) 707-7589,,675.0,2.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
Best Burger Barn,"1800 Main St, Dallas, TX 75201",https://thecraftyirishman.com,Yes,(972) 707-7589,,675.0,2.0,32.7896889,-96.8376006,burger restaurant,Food & Restaurant,75201,,,,,,,No,no_contact_found
