name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode,category
,"
Stonefield Dr, Clifton, VA 20124","
littlerockyrunhoa.org",,,,38.812717,-77.5678925,swimming classes for kids,20120,
,"
99 Adams St, Manassas Park, VA 20111","
moonsaquaticsclub.com","
(703) 343-0905",,,38.812717,-77.5678925,swimming classes for kids,20120,
,"
99 Adams St, Manassas Park, VA 20111","
moonsaquaticsclub.com","
(703) 343-0905",,,38.812717,-77.5678925,swimming classes for kids,20120,
,"
13775 Little Rocky Run Cir, Centreville, VA 20121","
littlerockyrunhoa.org","
(703) 830-0411",,,38.8292375,-77.5686153,swimming classes for kids,20120,
,"
42420 Unicorn Dr, South Riding, VA 20152","
southriding.net","
(703) 327-5648",,,38.9188086,-77.679621,swimming classes for kids,20120,
,"
22000 Dulles Retail Plaza, Dulles, VA 20166","
bigblueswimschool.com","
(571) 773-7562",,,39.0072521,-77.5802708,swimming classes for kids,20120,
,"
13516 Point Pleasant Dr, Chantilly, VA 20151",,"
(703) 263-9228",,,38.8666214,-77.5573062,swimming classes for kids,20120,
,"
5501 Sully Park Dr, Centreville, VA 20120","
sully2.com","
(703) 266-2020",,,38.8666214,-77.5573062,swimming classes for kids,20120,
,"
41995 Greenstone Dr, Stone Ridge, VA 20105","
stoneridgehoa.org","
(703) 542-8399",,,38.9277777,-77.6951034,swimming classes for kids,20120,
,"
43055 Center St, Chantilly, VA 20152","
southriding.net","
(703) 327-3541",,,38.9277777,-77.6951034,swimming classes for kids,20120,
,"
9100 Freedom Center Blvd, Manassas, VA 20110","
freedom-center.com","
(703) 993-8444",,,38.7589369,-77.6639106,swimming classes for kids,20120,
,"
4465 Brookfield Corporate Dr STE 106, Chantilly, VA 20151","
optimumsnf.com","
(703) 378-4200",,,38.8823299,-77.5873181,swimming classes for kids,20120,
,"
Historic District, 8101 Seymour Rd, Manassas, VA 20109","
bullrunswimandracquetclub.com","
(703) 369-4502",,,38.7840385,-77.6674576,swimming classes for kids,20120,
,"
9658 Main St, Fairfax, VA 22031","
bigblueswimschool.com","
(571) 357-2858",,,38.8431009,-77.4200674,swimming classes for kids,20120,
,"
12340 Pinecrest Rd, Reston, VA 20191","
goldfishswimschool.com","
(703) 420-4727",,,38.9360092,-77.5193004,swimming classes for kids,20120,
,"
8030 Urbanna Rd, Manassas, VA 20109","
urbannaswimclub.org","
(703) 361-3233",,,38.7803306,-77.6433716,swimming classes for kids,20120,
,"
5401 Calamint Ct, Centreville, VA 20120","
swimfaircrest.com",,,,38.8514931,-77.5361175,youth swimming programs,20120,
,"
5238 Port Royal Rd, Springfield, VA 22151","
kidsfirstnova.com","
(703) 321-7946",,,38.8088032,-77.3662065,water safety classes for kids,20120,
,"
7700 Bull Run Dr, Centreville, VA 20121","
novaparks.com","
(703) 631-0552",,,38.802445,-77.6218253,water safety classes for kids,20120,
,"
13833 Dumfries Rd Door #25, Manassas, VA 20112","
pwcsaquatics.com","
(571) 374-6333",,,38.6538508,-77.5807427,water safety classes for kids,20120,
,"
14905 Greymont Dr, Centreville, VA 20120",,"
(571) 278-6360",,,38.8568411,-77.6045538,water safety classes for kids,20120,
,"
45591 Dulles Eastern Plaza, Sterling, VA 20166","
aqua-tots.com","
(571) 520-2201",,,39.0256522,-77.5660718,water safety classes for kids,20120,
,"
204 Mill St NE D, Vienna, VA 22180","
machineaquatics.com","
(703) 281-1500",,,38.9042288,-77.4102075,water safety classes for kids,20120,
,"
14531 Potomac Mills Rd, Woodbridge, VA 22192","
swimkids.us","
(703) 396-7946",,,38.6348259,-77.4397502,water safety classes for kids,20120,
,"
46262 Cranston St, Sterling, VA 20165","
britishswimschool.com","
(571) 446-3772",,,39.0355814,-77.5432041,water safety classes for kids,20120,
,"
21800 Towncenter Plz, Sterling, VA 20164","
safesplash.com","
(703) 214-7281",,,39.0355814,-77.5432041,water safety classes for kids,20120,
,"
6112-A Arlington Blvd, Seven Corners, VA 22044","
bigblueswimschool.com","
(571) 786-8102",,,38.8691853,-77.2880963,water safety classes for kids,20120,
,"
1104b W Broad St, Falls Church, VA 22046","
aqua-tots.com","
(571) 356-9985",,,38.8691853,-77.2880963,water safety classes for kids,20120,
,"
1400 Lake Fairfax Dr, Reston, VA 20190","
fairfaxcounty.gov","
(703) 246-5929",,,38.9668418,-77.4614453,water safety classes for kids,20120,
,"
7500 Ben Lomond Park Rd, Manassas, VA 20109","
splashdownwaterpark.com","
(703) 792-8200",,,38.7945816,-77.6212045,water safety classes for kids,20120,
